Survived,Pclass,Age,SibSp,Parch,Fare_log,age_Pclass_median,fare_Pclass_median,age_Pclass_std,fare_Pclass_std,SibSp_count,Parch_count,fare_median_diff,Distance to Lifeboat,Ticket_Count,Sex_male,Embarked_Q,Embarked_S,Side of ship_Left Center,Side of ship_NaN,Side of ship_Right,Side of ship_Right Center,Ship Location_Front,Ship Location_Mid,Ship Location_NaN
0,3,29.0,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,7,1,1,0,1,0,0,1,0,0,0,0
0,3,20.0,0,0,2.180891922715322,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.19580000000000108,7,1,1,0,1,0,0,1,0,0,0,0
0,1,46.0,1,0,4.1299529896894684,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-0.8042000000000016,7,1,1,0,1,0,0,1,0,0,0,0
0,3,26.0,1,2,3.0715352369694915,24.0,8.05,10.632997372069037,11.7239905502752,491,491,12.524999999999999,7,2,1,0,1,0,0,1,0,0,0,0
0,3,59.0,0,0,2.1102132003465894,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.8000000000000007,-1,1,1,0,1,0,1,0,0,0,0,1
0,3,24.0,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,-1,1,1,0,1,0,1,0,0,0,0,1
0,1,71.0,0,0,3.57386695198272,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-27.324999999999996,-1,1,1,0,0,0,1,0,0,0,0,1
1,1,23.0,0,1,4.164465907853638,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,1.379100000000001,-1,1,1,0,0,0,1,0,0,0,0,1
1,2,34.0,0,1,3.1780538303479458,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,7.9771,-1,2,0,0,1,0,1,0,0,0,0,1
0,2,34.0,1,0,3.295836866004329,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,10.9771,-1,2,1,0,1,0,1,0,0,0,0,1
0,3,28.0,0,0,2.1855792552411137,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.15420000000000034,-1,1,0,0,1,0,1,0,0,0,0,1
0,3,24.0,0,0,2.1855792552411137,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.15420000000000034,-1,1,1,0,1,0,1,0,0,0,0,1
0,1,21.0,0,1,4.360387947851531,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,15.308299999999996,-1,2,1,0,1,0,1,0,0,0,0,1
0,3,33.0,0,0,2.267393053825037,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.6041999999999987,-1,1,1,0,1,0,1,0,0,0,0,1
0,3,37.0,2,0,2.188856327665703,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.1250000000000009,-1,1,1,0,1,0,1,0,0,0,0,1
0,3,28.0,0,0,2.1855792552411137,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.15420000000000034,-1,1,1,0,1,0,1,0,0,0,0,1
1,3,21.0,0,0,2.157559320943788,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.40000000000000036,3,1,0,0,1,0,0,1,0,1,0,0
1,3,24.0,0,0,2.1719067693519296,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.27500000000000036,3,1,1,0,1,0,0,1,0,1,0,0
0,3,38.0,0,0,2.1855792552411137,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.15420000000000034,3,1,1,0,1,0,0,1,0,1,0,0
1,3,24.0,1,0,3.224857896545748,24.0,8.05,10.632997372069037,11.7239905502752,491,491,16.099999999999998,3,3,0,1,0,0,0,1,0,1,0,0
0,1,47.0,0,0,3.970291913552122,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-9.979199999999999,3,2,1,0,1,0,0,1,0,1,0,0
0,3,14.5,1,0,2.737880811060884,24.0,8.05,10.632997372069037,11.7239905502752,491,491,6.4041999999999994,3,2,0,0,0,0,0,1,0,1,0,0
0,3,22.0,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,3,1,1,0,1,0,0,1,0,1,0,0
0,3,20.0,1,0,2.3818582738885534,24.0,8.05,10.632997372069037,11.7239905502752,491,491,1.7749999999999986,3,1,0,0,1,0,0,1,0,1,0,0
0,3,17.0,0,0,2.738146075922933,24.0,8.05,10.632997372069037,11.7239905502752,491,491,6.408299999999999,3,2,0,0,0,0,0,1,0,1,0,0
0,3,21.0,0,0,2.188856327665703,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.1250000000000009,3,1,1,0,1,0,0,1,0,1,0,0
0,3,70.5,0,0,2.169053700369523,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.3000000000000007,-1,1,1,1,0,0,1,0,0,0,0,1
0,2,29.0,1,0,3.091042453358316,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,5.9771,-1,2,1,0,1,0,1,0,0,0,0,1
0,1,24.0,0,1,5.515526544247129,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,185.54160000000002,-1,2,1,0,0,0,1,0,0,0,0,1
0,3,2.0,4,2,3.4742929367327062,24.0,8.05,10.632997372069037,11.7239905502752,491,491,23.224999999999998,5,7,0,0,1,0,0,1,0,1,0,0
0,2,21.0,2,0,4.310799125385514,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,58.4771,-1,5,1,0,1,0,1,0,0,0,0,1
0,3,24.0,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,-1,1,1,0,1,0,1,0,0,0,0,1
0,2,32.5,1,0,3.436268471383741,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,15.047899999999998,-1,2,1,0,0,0,1,0,0,0,0,1
1,2,32.5,0,0,2.6390573296152584,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,-2.0229,1,1,0,0,1,0,0,0,1,1,0,0
0,1,54.0,0,1,4.360387947851531,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,15.308299999999996,4,2,1,0,1,0,0,0,0,1,0,0
1,3,12.0,1,0,2.5048481563289,24.0,8.05,10.632997372069037,11.7239905502752,491,491,3.191699999999999,4,2,1,0,0,0,0,0,0,1,0,0
0,3,24.0,0,0,2.169053700369523,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.3000000000000007,4,1,1,1,0,0,0,0,0,1,0,0
1,3,24.0,0,0,2.0969990034181696,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.9083000000000006,4,1,1,0,1,0,0,0,0,1,0,0
1,3,24.0,1,1,3.1509523813392697,24.0,8.05,10.632997372069037,11.7239905502752,491,491,14.3083,4,2,0,0,0,0,0,0,0,1,0,0
0,3,45.0,0,0,2.076311648670908,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-1.075000000000001,4,1,1,0,1,0,0,0,0,1,0,0
0,3,33.0,0,0,2.1855792552411137,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.15420000000000034,4,1,1,0,0,0,0,0,0,1,0,0
0,3,20.0,0,0,2.0856720914304723,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-1.0000000000000009,4,1,1,0,1,0,0,0,0,1,0,0
0,3,47.0,1,0,2.740840023925201,24.0,8.05,10.632997372069037,11.7239905502752,491,491,6.449999999999999,4,1,0,0,1,0,0,0,0,1,0,0
1,2,29.0,1,0,3.295836866004329,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,10.9771,4,1,0,0,1,0,0,0,0,1,0,0
0,2,25.0,0,0,2.6390573296152584,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,-2.0229,-1,1,1,0,1,0,1,0,0,0,0,1
0,2,23.0,0,0,2.775447133088262,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,0.02289999999999992,-1,1,1,0,0,0,1,0,0,0,0,1
1,1,19.0,0,2,3.3062747934011893,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-35.695899999999995,-1,1,0,0,1,0,1,0,0,0,0,1
0,1,37.0,1,0,3.9908341858524357,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-8.879199999999997,-1,2,1,0,1,0,1,0,0,0,0,1
0,3,16.0,0,0,2.3240236363515288,24.0,8.05,10.632997372069037,11.7239905502752,491,491,1.1666999999999987,4,2,1,0,1,0,0,0,0,1,0,0
0,1,24.0,0,0,4.384523514872469,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,17.220800000000004,-1,2,1,0,0,0,1,0,0,0,0,1
0,3,24.0,0,2,2.7878344138303452,24.0,8.05,10.632997372069037,11.7239905502752,491,491,7.195799999999998,-1,2,0,0,0,0,1,0,0,0,0,1
1,3,22.0,0,0,2.169053700369523,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.3000000000000007,-1,1,0,0,1,0,1,0,0,0,0,1
1,3,24.0,1,0,2.8243506567983707,24.0,8.05,10.632997372069037,11.7239905502752,491,491,7.799999999999999,-1,2,0,0,1,0,1,0,0,0,0,1
0,3,19.0,0,0,2.0476928433652555,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-1.3000000000000007,-1,1,1,1,0,0,1,0,0,0,0,1
0,2,18.0,0,0,2.5257286443082556,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,-3.5229,-1,1,1,0,1,0,1,0,0,0,0,1
0,2,19.0,1,1,3.6309854756950335,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,21.7271,-1,2,1,0,1,0,1,0,0,0,0,1
1,3,27.0,0,0,2.174274334826008,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.25420000000000087,3,1,1,0,1,1,0,0,0,0,1,0
0,3,9.0,2,2,3.5660053559634015,24.0,8.05,10.632997372069037,11.7239905502752,491,491,26.325,-1,4,0,0,1,0,1,0,0,0,0,1
0,2,36.5,0,2,3.295836866004329,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,10.9771,-1,3,1,0,1,0,1,0,0,0,0,1
0,2,42.0,0,0,2.6390573296152584,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,-2.0229,-1,1,1,0,1,0,1,0,0,0,0,1
0,2,51.0,0,0,2.6045398247325453,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,-2.4978999999999996,-1,1,1,0,1,0,1,0,0,0,0,1
1,1,22.0,1,0,4.213607983048918,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,4.620799999999996,-1,2,0,0,1,0,1,0,0,0,0,1
0,3,55.5,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,-1,1,1,0,1,0,1,0,0,0,0,1
0,3,40.5,0,2,2.740840023925201,24.0,8.05,10.632997372069037,11.7239905502752,491,491,6.449999999999999,-1,1,1,0,1,0,1,0,0,0,0,1
0,3,24.0,0,0,2.1177604059819726,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.7375000000000007,2,1,1,0,1,1,0,0,0,1,0,0
0,1,51.0,0,1,4.133231886474144,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-0.6000000000000014,2,1,1,0,0,1,0,0,0,1,0,0
1,3,16.0,0,0,2.167143305297764,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.31670000000000087,2,1,0,1,0,1,0,0,0,1,0,0
0,3,30.0,0,0,2.2027647577118348,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.0,2,1,1,0,1,1,0,0,0,1,0,0
0,3,24.0,0,0,2.2682524139135403,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.6124999999999989,2,1,1,0,1,1,0,0,0,1,0,0
0,3,24.0,8,2,4.256321678298823,24.0,8.05,10.632997372069037,11.7239905502752,491,491,61.5,2,7,1,0,1,1,0,0,0,1,0,0
0,3,44.0,0,1,2.8390784635086144,24.0,8.05,10.632997372069037,11.7239905502752,491,491,8.05,2,1,1,0,1,1,0,0,0,1,0,0
1,2,40.0,0,0,2.8183982582710754,28.0,15.0229,13.645488037595173,12.916284425124452,184,184,0.7271000000000001,2,1,0,0,1,1,0,0,0,1,0,0
0,3,26.0,0,0,2.1719067693519296,24.0,8.05,10.632997372069037,11.7239905502752,491,491,-0.27500000000000036,2,1,1,0,1,1,0,0,0,1,0,0
0,3,17.0,0,0,2.2682524139135403,24.0,8.05,10.632997372069037,11.7239905502752,491,491,0.6124999999999989,2,1,1,0,1,1,0,0,0,1,0,0
0,3,1.0,4,1,3.705920919968788,24.0,8.05,10.632997372069037,11.7239905502752,491,491,31.6375,-1,6,1,0,1,0,1,0,0,0,0,1
1,3,9.0,0,2,3.0692150503137943,24.0,8.05,10.632997372069037,11.7239905502752,491,491,12.474999999999998,-1,3,1,0,1,0,1,0,0,0,0,1
1,1,24.0,0,1,4.02535169073515,35.0,61.9792,14.590796249183427,77.38315725166898,216,216,-6.979199999999999,-1,2,0,0,1,0,1,0,0,0,0,1
